Date,HomeTeam,AwayTeam,MatchInfo,TotalScore,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10,Over 11,Over 12,Over 13,Over 14,Over 15,Over 16,Over 17,Over 18,Over 19,Over 20
20.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",108/7 (20),2 runs,3 runs,12 runs,6 runs,7 runs,6 runs,6 runs,9 runs,6 runs,7 runs,8 runs,6 runs,3 runs,2 runs,2 runs,4 runs,2 runs,9 runs,4 runs,4 runs
20.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",109/2 (18.1),5 runs,4 runs,3 runs,3 runs,9 runs,3 runs,5 runs,4 runs,5 runs,9 runs,8 runs,13 runs,4 runs,8 runs,12 runs,4 runs,3 runs,6 runs,1 run,
20.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: JSCA International Stadium Complex (Ranchi)",155/3 (17.2),8 runs,8 runs,2 runs,14 runs,3 runs,10 runs,7 runs,5 runs,6 runs,16 runs,13 runs,13 runs,11 runs,6 runs,12 runs,3 runs,6 runs,12 runs,,
20.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: JSCA International Stadium Complex (Ranchi)",153/6 (20),14 runs,10 runs,5 runs,13 runs,14 runs,8 runs,5 runs,4 runs,7 runs,4 runs,6 runs,4 runs,8 runs,12 runs,11 runs,3 runs,10 runs,2 runs,6 runs,7 runs
19.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",127/7 (20),2 runs,5 runs,3 runs,2 runs,4 runs,9 runs,8 runs,4 runs,3 runs,0 runs,15 runs,4 runs,3 runs,5 runs,13 runs,12 runs,4 runs,5 runs,11 runs,15 runs
19.11.2021 19:00,Bangladesh,Pakistan,"Referee: Rashid N. (Ban), Venue: Shere Bangla National Stadium (Dhaka)",132/6 (19.2),4 runs,9 runs,3 runs,6 runs,1 run,1 run,6 runs,2 runs,6 runs,2 runs,8 runs,7 runs,11 runs,10 runs,6 runs,8 runs,6 runs,15 runs,15 runs,6 runs
18.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: Sawai Mansingh Stadium (Jaipur)",166/5 (19.4),7 runs,2 runs,15 runs,5 runs,21 runs,6 runs,7 runs,4 runs,12 runs,6 runs,4 runs,15 runs,5 runs,6 runs,12 runs,15 runs,2 runs,5 runs,6 runs,11 runs
18.11.2021 00:30,India,New Zealand,"Referee: Nayyar M. (Ind), Venue: Sawai Mansingh Stadium (Jaipur)",164/6 (20),2 runs,9 runs,4 runs,5 runs,6 runs,15 runs,7 runs,7 runs,7 runs,3 runs,16 runs,15 runs,10 runs,4 runs,13 runs,7 runs,14 runs,8 runs,5 runs,7 runs
10.10.2021 21:30,Namibia,Papua New Guinea,Venue: ICC Academy (Dubai),174/6 (20),7 runs,2 runs,15 runs,5 runs,21 runs,6 runs,7 runs,4 runs,12 runs,6 runs,4 runs,15 runs,5 runs,6 runs,12 runs,15 runs,2 runs,5 runs,6 runs,11 runs
10.10.2021 21:30,Namibia,Papua New Guinea,Venue: ICC Academy (Dubai),160/6 (20),2 runs,9 runs,4 runs,5 runs,6 runs,15 runs,7 runs,7 runs,7 runs,3 runs,16 runs,15 runs,10 runs,4 runs,13 runs,7 runs,14 runs,8 runs,5 runs,7 runs
10.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),139/3 (16.1),7 runs,2 runs,15 runs,5 runs,21 runs,6 runs,7 runs,4 runs,12 runs,6 runs,4 runs,15 runs,5 runs,6 runs,12 runs,15 runs,2 runs,5 runs,6 runs,11 runs
10.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),134/5 (20),2 runs,9 runs,4 runs,5 runs,6 runs,15 runs,7 runs,7 runs,7 runs,3 runs,16 runs,15 runs,10 runs,4 runs,13 runs,7 runs,14 runs,8 runs,5 runs,7 runs
10.10.2021 02:30,Oman,Sri Lanka,"Referee: Mohan R. (Oma), Venue: Al Amerat Cricket Ground (Al Amarat)",159/8 (20),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
10.10.2021 02:30,Oman,Sri Lanka,"Referee: Mohan R. (Oma), Venue: Al Amerat Cricket Ground (Al Amarat)",163/5 (17.3),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
09.10.2021 17:30,Namibia,Scotland,Venue: ICC Academy (Dubai),138/5 (17.4),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
09.10.2021 17:30,Namibia,Scotland,Venue: ICC Academy (Dubai),137/8 (20),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
08.10.2021 21:30,Papua New Guinea,Scotland,Venue: ICC Academy (Dubai),154/5 (20),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
08.10.2021 21:30,Papua New Guinea,Scotland,Venue: ICC Academy (Dubai),156/2 (17.5),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
08.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),163/4 (20),11 runs,6 runs,12 runs,9 runs,4 runs,6 runs,4 runs,13 runs,19 runs,5 runs,0 runs,9 runs,10 runs,9 runs,13 runs,12 runs,12 runs,9 runs,,
08.10.2021 17:00,United Arab Emirates,Ireland,Venue: ICC Academy (Dubai),109/10 (18.4),6 runs,4 runs,5 runs,8 runs,13 runs,8 runs,4 runs,13 runs,14 runs,2 runs,6 runs,5 runs,12 runs,5 runs,7 runs,17 runs,11 runs,6 runs,7 runs,6 runs
