Date,HomeTeam,AwayTeam,Q1HomeScore,Q2HomeScore,Q3HomeScore,Q4HomeScore,Q5HomeScore,Q1AwayScore,Q2AwayScore,Q3AwayScore,Q4AwayScore,Q5AwayScore
03.04. 14:00,London Irish,Harlequins,7,7,,,,22,19,,,
02.04. 15:00,Exeter Chiefs,Bath,21,21,,,,22,0,,,
02.04. 15:00,Gloucester,Wasps,6,15,,,,0,27,,,
02.04. 15:00,Northampton Saints,Bristol,24,15,,,,17,5,,,
02.04. 15:00,Worcester Warriors,Newcastle Falcons,5,5,,,,21,24,,,
01.04. 19:45,Sale Sharks,Saracens,6,6,,,,5,13,,,
27.03. 15:00,Exeter Chiefs,Leicester Tigers,0,17,,,,12,10,,,
26.03. 16:00,Bath,Sale Sharks,21,3,,,,7,17,,,
26.03. 16:00,London Irish,Northampton Saints,8,14,,,,14,28,,,
26.03. 16:00,Saracens,Bristol,20,7,,,,20,3,,,
26.03. 16:00,Wasps,Newcastle Falcons,14,13,,,,17,7,,,
25.03. 20:45,Gloucester,Worcester Warriors,,,,,,,,,,
13.03. 16:00,Bristol,Harlequins,19,10,,,,26,12,,,
13.03. 16:00,Northampton Saints,Wasps,12,15,,,,10,12,,,
12.03. 16:00,Leicester Tigers,London Irish,26,21,,,,16,12,,,
12.03. 16:00,Newcastle Falcons,Saracens,16,5,,,,17,19,,,
12.03. 16:00,Sale Sharks,Gloucester,19,7,,,,12,12,,,
12.03. 15:30,Worcester Warriors,Exeter Chiefs,14,21,,,,14,17,,,
06.03. 16:00,Exeter Chiefs,Sale Sharks,19,0,,,,0,12,,,
05.03. 16:00,Bath,Bristol,5,24,,,,24,3,,,
05.03. 16:00,Gloucester,Northampton Saints,14,21,,,,20,10,,,
05.03. 16:00,London Irish,Worcester Warriors,17,26,,,,5,7,,,
05.03. 16:00,Saracens,Leicester Tigers,22,12,,,,13,14,,,
04.03. 20:45,Harlequins,Newcastle Falcons,19,5,,,,10,0,,,
27.02. 14:00,Northampton Saints,Exeter Chiefs,13,18,,,,17,17,,,
26.02. 16:00,Leicester Tigers,Gloucester,14,21,,,,16,7,,,
26.02. 16:00,Newcastle Falcons,Bath,18,7,,,,11,19,,,
25.02. 20:45,Bristol,Wasps,21,10,,,,7,12,,,
25.02. 20:45,Sale Sharks,London Irish,8,19,,,,7,20,,,
25.02. 20:45,Worcester Warriors,Harlequins,14,7,,,,14,15,,,
20.02. 16:00,Newcastle Falcons,Exeter Chiefs,7,7,,,,7,8,,,
19.02. 16:00,Bath,Leicester Tigers,20,0,,,,14,10,,,
19.02. 16:00,Harlequins,Wasps,12,17,,,,3,21,,,
19.02. 16:00,London Irish,Saracens,12,20,,,,10,20,,,
19.02. 16:00,Northampton Saints,Sale Sharks,14,7,,,,15,7,,,
18.02. 21:15,Worcester Warriors,Bristol,14,5,,,,14,0,,,
13.02. 14:00,Saracens,Harlequins,10,9,,,,10,0,,,
12.02. 16:00,Exeter Chiefs,Gloucester,5,19,,,,5,10,,,
12.02. 16:00,Sale Sharks,Worcester Warriors,10,26,,,,12,0,,,
12.02. 16:00,Wasps,Bath,17,24,,,,14,10,,,
11.02. 20:45,Bristol,London Irish,15,17,,,,10,39,,,
11.02. 20:45,Leicester Tigers,Northampton Saints,22,13,,,,10,10,,,
06.02. 14:00,Harlequins,Sale Sharks,7,7,,,,22,14,,,
05.02. 16:00,Leicester Tigers,Worcester Warriors,22,14,,,,6,10,,,
05.02. 16:00,Saracens,Bath,18,22,,,,3,0,,,
05.02. 15:30,Exeter Chiefs,Wasps,21,5,,,,8,19,,,
05.02. 15:00,Bristol,Newcastle Falcons,28,9,,,,14,7,,,
04.02. 20:45,Gloucester,London Irish,7,17,,,,0,7,,,
30.01. 16:00,Sale Sharks,Leicester Tigers,5,30,,,,18,8,,,
30.01. 16:00,Wasps,Saracens,13,13,,,,13,7,,,
29.01. 20:00,Newcastle Falcons,Gloucester,8,14,,,,20,12,,,
29.01. 16:00,London Irish,Exeter Chiefs,18,0,,,,14,0,,,
29.01. 16:00,Worcester Warriors,Northampton Saints,3,10,,,,19,10,,,
28.01. 20:45,Bath,Harlequins,6,15,,,,12,5,,,
09.01. 16:00,Bath,Worcester Warriors,14,8,,,,19,0,,,
09.01. 16:00,Wasps,Leicester Tigers,7,9,,,,13,0,,,
08.01. 16:00,Harlequins,Exeter Chiefs,7,7,,,,7,5,,,
08.01. 16:00,Newcastle Falcons,Northampton Saints,3,5,,,,20,24,,,
08.01. 16:00,Saracens,Gloucester,14,10,,,,12,13,,,
07.01. 20:45,Bristol,Sale Sharks,19,13,,,,15,0,,,
02.01. 16:00,Gloucester,Harlequins,10,7,,,,10,10,,,
02.01. 16:00,Leicester Tigers,Newcastle Falcons,17,14,,,,0,0,,,
02.01. 16:00,Northampton Saints,Saracens,6,0,,,,6,24,,,
01.01. 17:30,Exeter Chiefs,Bristol,12,7,,,,3,10,,,
01.01. 15:00,Sale Sharks,Wasps,19,7,,,,8,10,,,
27.12. 18:00,Harlequins,Northampton Saints,26,15,,,,24,3,,,
26.12. 17:30,Bath,Gloucester,6,14,,,,26,14,,,
26.12. 16:00,Saracens,Worcester Warriors,40,21,,,,7,22,,,
26.12. 16:00,Wasps,London Irish,25,13,,,,18,12,,,
26.12. 15:00,Bristol,Leicester Tigers,13,13,,,,10,18,,,
05.12. 16:00,Leicester Tigers,Harlequins,9,7,,,,6,8,,,
04.12. 16:00,Exeter Chiefs,Saracens,8,10,,,,6,9,,,
04.12. 16:00,London Irish,Newcastle Falcons,28,15,,,,14,7,,,
04.12. 16:00,Northampton Saints,Bath,28,12,,,,12,7,,,
04.12. 16:00,Worcester Warriors,Wasps,25,7,,,,14,17,,,
03.12. 20:45,Gloucester,Bristol,8,19,,,,3,7,,,
28.11. 16:00,Saracens,Sale Sharks,13,12,,,,0,14,,,
27.11. 19:00,Newcastle Falcons,Worcester Warriors,12,12,,,,10,14,,,
27.11. 16:00,Harlequins,London Irish,14,5,,,,10,12,,,
26.11. 20:45,Bath,Exeter Chiefs,10,6,,,,6,17,,,
26.11. 20:45,Bristol,Northampton Saints,13,7,,,,20,16,,,
26.11. 20:45,Wasps,Gloucester,12,21,,,,23,12,,,
07.11. 17:30,Wasps,Harlequins,16,0,,,,0,26,,,
06.11. 18:30,Exeter Chiefs,Newcastle Falcons,7,7,,,,7,8,,,
06.11. 18:00,Sale Sharks,Northampton Saints,13,17,,,,6,0,,,
06.11. 16:00,Bristol,Worcester Warriors,13,14,,,,0,5,,,
06.11. 16:00,Saracens,London Irish,13,21,,,,3,31,,,
05.11. 20:45,Leicester Tigers,Bath,20,20,,,,13,10,,,
31.10. 16:00,Harlequins,Saracens,19,3,,,,9,20,,,
30.10. 15:00,Bath,Wasps,10,7,,,,13,14,,,
30.10. 15:00,London Irish,Bristol,12,21,,,,19,26,,,
30.10. 15:00,Northampton Saints,Leicester Tigers,5,21,,,,27,28,,,
30.10. 15:00,Worcester Warriors,Sale Sharks,17,10,,,,7,7,,,
29.10. 19:45,Gloucester,Exeter Chiefs,13,0,,,,6,10,,,
24.10. 15:00,Saracens,Wasps,27,29,,,,3,12,,,
23.10. 15:00,Exeter Chiefs,London Irish,14,7,,,,14,19,,,
23.10. 15:00,Gloucester,Newcastle Falcons,13,16,,,,0,20,,,
23.10. 15:00,Harlequins,Bath,12,19,,,,17,0,,,
23.10. 15:00,Leicester Tigers,Sale Sharks,6,13,,,,3,8,,,
22.10. 19:45,Northampton Saints,Worcester Warriors,33,33,,,,10,0,,,
17.10. 15:00,Bath,Saracens,0,17,,,,45,26,,,
17.10. 15:00,London Irish,Gloucester,14,11,,,,6,19,,,
16.10. 15:00,Newcastle Falcons,Bristol,7,6,,,,0,5,,,
16.10. 15:00,Wasps,Exeter Chiefs,20,3,,,,15,12,,,
16.10. 15:00,Worcester Warriors,Leicester Tigers,3,0,,,,22,26,,,
15.10. 19:45,Sale Sharks,Harlequins,17,11,,,,14,8,,,
10.10. 15:00,Wasps,Northampton Saints,10,16,,,,10,10,,,
09.10. 15:00,Exeter Chiefs,Worcester Warriors,21,21,,,,0,5,,,
09.10. 15:00,Gloucester,Sale Sharks,20,13,,,,10,22,,,
09.10. 15:00,London Irish,Leicester Tigers,6,10,,,,5,16,,,
09.10. 15:00,Saracens,Newcastle Falcons,10,27,,,,17,6,,,
08.10. 19:45,Harlequins,Bristol,7,45,,,,24,0,,,
03.10. 15:00,Sale Sharks,Exeter Chiefs,10,5,,,,10,15,,,
02.10. 14:00,Leicester Tigers,Saracens,3,10,,,,9,3,,,
02.10. 14:00,Newcastle Falcons,Wasps,8,10,,,,0,14,,,
02.10. 14:00,Worcester Warriors,Gloucester,3,20,,,,12,19,,,
02.10. 13:00,Northampton Saints,London Irish,17,6,,,,7,14,,,
01.10. 18:45,Bristol,Bath,8,17,,,,15,5,,,
26.09. 14:00,London Irish,Sale Sharks,14,17,,,,31,0,,,
25.09. 14:00,Bath,Newcastle Falcons,3,10,,,,20,0,,,
25.09. 14:00,Exeter Chiefs,Northampton Saints,21,3,,,,17,9,,,
25.09. 14:00,Harlequins,Worcester Warriors,21,14,,,,3,26,,,
25.09. 14:00,Wasps,Bristol,16,28,,,,8,0,,,
24.09. 18:45,Gloucester,Leicester Tigers,12,14,,,,18,15,,,
19.09. 14:00,Newcastle Falcons,Harlequins,12,8,,,,14,12,,,
18.09. 16:00,Sale Sharks,Bath,17,3,,,,3,16,,,
18.09. 14:00,Leicester Tigers,Exeter Chiefs,20,14,,,,5,14,,,
18.09. 14:00,Northampton Saints,Gloucester,10,24,,,,5,15,,,
18.09. 14:00,Worcester Warriors,London Irish,19,17,,,,5,19,,,
17.09. 18:45,Bristol,Saracens,9,0,,,,9,17,,,
