Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-
Morris Marc.,LAC,22,4,-,26:59,8,13,-,-,4,6,2,2,5
McCollum C.,NOP,19,3,4,37:26,7,18,-,-,3,5,2,4,-21
Zubac I.,LAC,16,14,1,24:59,7,9,-,-,-,-,2,3,3
George P.,LAC,15,5,7,29:05,5,15,-,-,5,7,-,-,14
Ingram B.,NOP,15,8,4,34:55,3,11,-,-,1,2,8,8,-7
Mann T.,LAC,15,3,3,29:10,7,12,-,-,1,2,-,-,16
Kennard L.,LAC,14,1,1,24:28,5,8,-,-,4,7,-,1,19
Jones H.,NOP,13,8,2,31:35,4,9,-,-,1,3,4,6,-3
Hartenstein I.,LAC,12,9,2,23:01,4,6,-,-,2,2,2,2,16
Hayes J.,NOP,12,10,3,22:05,4,12,-,-,1,2,3,4,-5
Jackson R.,LAC,11,2,10,33:13,4,19,-,-,1,9,2,2,6
Marshall N.,NOP,10,1,1,15:40,3,7,-,-,-,-,4,4,-14
Nance L.,NOP,10,8,2,28:12,4,7,-,-,2,2,-,-,-7
Covington R.,LAC,8,2,1,18:29,3,7,-,-,2,6,-,-,14
Valanciunas J.,NOP,8,9,1,22:11,4,6,-,-,-,-,-,1,-21
Murphy T.,NOP,7,5,1,17:28,3,8,-,-,1,6,-,-,-2
Batum N.,LAC,6,1,5,23:00,2,5,-,-,2,4,-,-,2
Alvarado J.,NOP,2,-,2,07:40,1,3,-,-,-,2,-,-,-9
Graham D.,NOP,2,1,2,17:44,1,4,-,-,-,2,-,-,-6
Snell T.,NOP,2,-,-,02:32,1,2,-,-,-,-,-,-,-
Clark G.,NOP,-,1,-,02:32,-,-,-,-,-,-,-,-,-
Coffey A.,LAC,-,-,1,02:32,-,1,-,-,-,1,-,-,-
Hood R.,LAC,-,-,-,02:32,-,-,-,-,-,-,-,-,-
Moon X.,LAC,-,-,2,02:32,-,-,-,-,-,-,-,-,-
Wiggins A.,GSW,25,5,5,36:01,8,16,-,-,4,7,5,6,7
Poole J.,GSW,22,5,5,33:50,9,15,-,-,4,9,-,-,19
Bjelica N.,GSW,19,12,6,30:17,7,11,-,-,3,6,2,2,9
Barnes H.,SAC,18,10,1,34:39,7,17,-,-,1,8,3,3,-14
Jones D.,SAC,17,6,2,34:32,5,10,-,-,-,1,7,8,-13
Kuminga J.,GSW,17,5,4,31:19,6,11,-,-,2,3,3,6,12
DiVincenzo D.,SAC,14,4,4,30:22,4,13,-,-,2,9,4,4,-4
Lee D.,GSW,11,5,2,27:35,5,10,-,-,-,3,1,1,11
Metu C.,SAC,9,3,1,22:24,3,6,-,-,1,2,2,2,-
Mitchell D.,SAC,9,1,9,38:26,4,11,-,-,-,1,1,2,-19
Lyles T.,SAC,7,3,1,21:05,2,6,-,-,1,4,2,2,-19
Green D.,GSW,6,7,5,23:58,2,5,-,-,2,2,-,-,11
Holiday J.,SAC,6,3,1,26:19,2,7,-,-,2,4,-,-,-7
Jackson J.,SAC,5,4,-,20:00,2,5,-,-,-,1,1,2,-12
Lamb J.,SAC,5,1,-,12:13,2,6,-,-,-,3,1,1,-7
Toscano-Anderson J.,GSW,4,2,1,19:30,2,4,-,-,-,1,-,-,6
Moody M.,GSW,3,1,-,02:27,1,1,-,-,1,1,-,-,3
Payton G.,GSW,2,3,-,19:04,1,4,-,-,-,1,-,-,10
Looney K.,GSW,-,2,1,14:38,-,1,-,-,-,-,-,-,9
Weatherspoon Q.,GSW,-,-,-,01:21,-,1,-,-,-,1,-,-,-2
Edwards A.,MIN,33,4,5,35:21,12,21,-,-,4,12,5,5,2
Green J.,HOU,31,2,5,36:05,12,18,-,-,4,8,3,6,-7
Christopher J.,HOU,30,3,-,30:09,11,14,-,-,3,5,5,7,2
Towns K.,MIN,28,11,5,35:25,12,16,-,-,1,3,3,5,2
Russell D.,MIN,22,1,9,34:39,7,16,-,-,4,11,4,4,-4
Porter K.,HOU,21,6,8,35:50,6,14,-,-,4,10,5,5,-8
Sengun A.,HOU,14,15,4,32:43,5,7,-,-,-,1,4,4,-6
Beasley M.,MIN,12,1,4,28:20,4,8,-,-,3,7,1,1,-6
